City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,victoria,22.2855,114.1577,70.95,86,64,8.99,HK,2023-02-06 10:47:46
129,mount isa,-20.7333,139.5,80.37,83,75,12.66,AU,2023-02-06 10:52:25
130,bahia honda,22.9036,-83.1592,71.94,86,4,3.67,CU,2023-02-06 10:52:25
131,upernavik,72.7868,-56.1549,-13.32,94,100,13.73,GL,2023-02-06 10:52:26
132,ambilobe,-13.2,49.05,80.51,84,99,5.08,MG,2023-02-06 10:52:26
133,isangel,-19.55,169.2667,80.8,82,98,5.08,VU,2023-02-06 10:52:26
134,ntungamo,-0.8833,29.65,85.91,27,65,6.69,UG,2023-02-06 10:52:27
135,camabatela,-8.1881,15.375,69.69,84,100,3.49,AO,2023-02-06 10:52:27
136,sabratah,32.7933,12.4885,57.67,52,44,9.89,LY,2023-02-06 10:52:28
137,bethel,41.3712,-73.414,34.16,80,0,0.0,US,2023-02-06 10:52:28
138,te anau,-45.4167,167.7167,56.62,77,98,6.91,NZ,2023-02-06 10:50:12
139,samarai,-10.6167,150.6667,79.38,84,100,12.84,PG,2023-02-06 10:52:29
140,vung tau,10.346,107.0843,77.92,81,11,17.69,VN,2023-02-06 10:52:29
141,whitehorse,60.7161,-135.0538,23.77,80,75,18.41,CA,2023-02-06 10:52:29
142,fort nelson,58.8053,-122.7002,-8.01,77,100,2.3,CA,2023-02-06 10:52:30
143,blagoyevo,63.3667,47.9167,9.86,96,100,3.76,RU,2023-02-06 10:52:30
144,nakusp,50.2499,-117.8023,34.14,100,92,2.3,CA,2023-02-06 10:52:31
145,axim,4.8699,-2.2405,84.92,71,64,9.06,GH,2023-02-06 10:52:31
146,mar del plata,-38.0023,-57.5575,75.83,84,0,8.05,AR,2023-02-06 10:48:42
147,khatanga,71.9667,102.5,-37.07,100,40,5.39,RU,2023-02-06 10:52:32
148,dikson,73.5069,80.5464,-1.19,97,100,1.34,RU,2023-02-06 10:52:32
149,sisimiut,66.9395,-53.6735,3.13,94,100,0.54,GL,2023-02-06 10:50:00
150,altamont,42.2068,-121.7372,31.98,86,0,6.91,US,2023-02-06 10:52:33
151,ligayan,4.6533,119.4706,82.09,75,33,8.66,PH,2023-02-06 10:52:33
152,limoges,45.75,1.3333,43.68,70,20,17.27,FR,2023-02-06 10:52:34
153,iqaluit,63.7506,-68.5145,-22.27,74,100,9.22,CA,2023-02-06 10:52:13
154,coquimbo,-29.9533,-71.3436,62.33,100,40,2.3,CL,2023-02-06 10:52:34
155,okhotsk,59.3833,143.3,-11.4,87,98,7.76,RU,2023-02-06 10:52:35
156,puerto escondido,15.85,-97.0667,74.35,63,0,4.76,MX,2023-02-06 10:52:35
157,waingapu,-9.6567,120.2641,78.24,86,100,12.71,ID,2023-02-06 10:52:35
158,saint-francois,46.4154,3.9054,42.24,74,100,16.11,FR,2023-02-06 10:52:36
159,kupang,-10.1667,123.5833,81.18,89,40,5.75,ID,2023-02-06 10:52:36
160,east london,-33.0153,27.9116,81.54,78,0,11.5,ZA,2023-02-06 10:52:37
161,esperance,-33.8667,121.9,79.27,48,68,25.75,AU,2023-02-06 10:52:37
162,longyearbyen,78.2186,15.6401,28.24,64,75,24.16,SJ,2023-02-06 10:52:37
163,tromso,69.6496,18.957,37.42,87,75,26.46,NO,2023-02-06 10:52:38
164,terra santa,-2.1042,-56.4869,73.56,96,86,3.56,BR,2023-02-06 10:52:38
165,lobito,-12.3481,13.5456,82.26,64,84,9.35,AO,2023-02-06 10:52:39
166,klaksvik,62.2266,-6.589,47.32,90,100,41.7,FO,2023-02-06 10:52:39
167,souillac,-20.5167,57.5167,84.58,74,75,8.05,MU,2023-02-06 10:52:39
168,padang,-0.9492,100.3543,86.05,79,99,4.72,ID,2023-02-06 10:52:40
169,athabasca,54.7169,-113.2854,25.21,91,48,5.12,CA,2023-02-06 10:52:40
170,beidao,34.5686,105.8933,48.02,42,44,1.03,CN,2023-02-06 10:52:40
171,marshall,34.3834,-86.3333,45.37,90,0,0.0,US,2023-02-06 10:52:41
172,ishigaki,24.3448,124.1572,66.33,88,75,2.3,JP,2023-02-06 10:52:43
